truck_id,date,gallons_filled,cost_per_gallon,odometer_reading,fuel_station_id
T-0010,2026-03-24,37.8,3.97,160266,FS-6482
T-0028,2026-03-25,60.7,3.21,23058,FS-3195
T-0025,2026-04-05,32.8,3.67,21272,FS-1240
T-0030,2026-03-25,56.6,4.24,218349,FS-3813
T-0034,2026-03-21,66.5,3.97,15132,FS-5648
T-0008,2026-03-19,65.9,3.64,296106,FS-9419
T-0001,2026-03-23,30.7,4.17,126260,FS-1307
T-0046,2026-04-03,72.3,4.61,61733,FS-7047
T-0022,2026-03-20,20.9,3.68,243907,FS-3657
T-0022,2026-03-28,47.9,4.45,172318,FS-9419
T-0035,2026-03-29,50.9,4.1,247983,FS-1582
T-0013,2026-03-20,32.2,3.32,168672,FS-6181
T-0026,2026-04-04,19.9,3.78,252073,FS-8969
T-0031,2026-03-24,48.6,4.42,63833,FS-6017
T-0050,2026-04-01,35.1,4.66,48507,FS-3016
T-0016,2026-03-19,74.1,4.02,173111,FS-9419
T-0029,2026-03-16,10.5,4.74,298651,FS-9062
T-0026,2026-03-21,19.1,4.46,222323,FS-2373
T-0034,2026-03-19,65.6,3.37,269578,FS-1764
T-0044,2026-03-19,65.1,4.22,53069,FS-4427
T-0043,2026-03-23,23.8,3.13,188635,FS-1672
T-0037,2026-03-17,26.4,4.29,31134,FS-9175
T-0017,2026-04-03,36.4,3.35,279089,FS-4643
T-0039,2026-03-30,60.1,3.93,72079,FS-4427
T-0049,2026-04-05,53.6,3.8,146280,FS-8571
T-0021,2026-03-27,64.2,4.77,240301,FS-2841
T-0014,2026-03-29,11.9,3.25,98846,FS-4733
T-0002,2026-03-23,68.6,4.44,173600,FS-4733
T-0027,2026-03-31,18.6,3.79,30689,FS-3813
T-0040,2026-04-04,74.6,3.97,167396,FS-3845
T-0005,2026-04-03,70.4,3.7,299164,FS-3174
T-0028,2026-03-30,72.9,3.97,206422,FS-5602
T-0024,2026-03-17,26.6,3.37,76023,FS-9062
T-0033,2026-03-28,49.4,4.85,105023,FS-9088
T-0036,2026-04-01,71.5,4.04,92802,FS-6465
T-0013,2026-03-17,46.1,3.5,57424,FS-5424
T-0046,2026-03-31,17.4,3.28,113030,FS-2239
T-0025,2026-03-29,49.6,3.92,258875,FS-8969
T-0024,2026-03-23,67.0,4.7,269854,FS-1683
T-0048,2026-03-23,45.1,3.31,127304,FS-3520
T-0030,2026-03-19,52.3,4.6,135336,FS-3016
T-0029,2026-03-22,74.5,3.22,79257,FS-4733
T-0017,2026-04-03,58.9,4.06,148789,FS-8844
T-0017,2026-03-29,44.2,4.13,169124,FS-4297
T-0006,2026-03-16,30.7,3.3,39449,FS-7047
T-0048,2026-03-15,31.6,3.74,188843,FS-1582
T-0007,2026-04-02,40.6,3.44,45080,FS-1175
T-0023,2026-03-19,30.8,3.27,124372,FS-4724
T-0034,2026-03-29,43.4,3.23,147965,FS-7196
T-0024,2026-03-24,15.8,3.15,139112,FS-2841
T-0006,2026-04-03,58.2,3.78,30542,FS-2239
T-0003,2026-03-25,78.2,3.98,239516,FS-3845
T-0026,2026-04-01,24.0,4.57,32881,FS-2503
T-0039,2026-03-19,66.0,3.25,184215,FS-6535
T-0041,2026-03-30,61.3,4.33,49657,FS-7225
T-0024,2026-03-20,19.5,4.83,280523,FS-7047
T-0028,2026-03-22,74.0,4.12,276113,FS-5195
T-0021,2026-03-15,41.8,3.32,26622,FS-2239
T-0011,2026-03-28,22.0,4.07,39650,FS-8571
T-0011,2026-03-29,46.4,4.26,190786,FS-8550
T-0027,2026-03-26,39.3,3.45,126577,FS-2845
T-0019,2026-03-23,60.1,3.14,285844,FS-1672
T-0016,2026-03-18,49.3,3.84,239214,FS-5314
T-0027,2026-03-24,28.7,3.29,149923,FS-5314
T-0020,2026-04-02,33.6,4.1,258900,FS-3016
T-0024,2026-03-15,33.0,3.97,133530,FS-3520
T-0015,2026-03-17,78.6,3.39,112988,FS-6181
T-0028,2026-03-17,43.8,3.71,264722,FS-9754
T-0047,2026-03-23,15.6,3.79,112673,FS-1946
T-0020,2026-04-02,72.5,3.65,146788,FS-7018
T-0022,2026-03-27,26.9,3.43,75803,FS-8850
T-0048,2026-03-16,22.5,4.69,113341,FS-2503
T-0015,2026-04-03,66.4,3.77,150462,FS-9670
T-0014,2026-03-31,40.1,3.13,152375,FS-6465
T-0039,2026-03-16,64.9,3.93,297395,FS-2845
T-0045,2026-04-05,78.6,4.46,144726,FS-3195
T-0049,2026-03-29,59.1,3.9,165915,FS-9019
T-0012,2026-03-16,24.4,3.28,52434,FS-3520
T-0005,2026-03-20,20.9,4.64,31524,FS-1683
T-0044,2026-03-25,44.8,4.06,116023,FS-3231
T-0044,2026-03-23,40.5,4.78,63163,FS-1240
T-0044,2026-03-15,44.4,3.12,246373,FS-4724
T-0020,2026-03-24,32.3,3.23,191419,FS-9134
T-0008,2026-03-20,75.7,3.41,271206,FS-5424
T-0042,2026-03-21,51.2,3.76,32884,FS-7018
T-0044,2026-03-29,51.9,4.05,98942,FS-8170
T-0029,2026-03-30,75.1,3.16,50053,FS-5415
T-0048,2026-03-26,61.2,4.7,58085,FS-4427
T-0022,2026-03-21,73.6,4.3,257211,FS-4724
T-0030,2026-03-28,65.6,3.88,95855,FS-8397
T-0029,2026-03-20,63.0,3.73,237459,FS-6482
T-0039,2026-03-28,63.1,3.75,207542,FS-1946
T-0004,2026-04-04,42.2,3.45,216620,FS-3174
T-0037,2026-03-22,14.0,4.79,153041,FS-7563
T-0017,2026-03-23,76.9,3.73,108971,FS-1764
T-0016,2026-04-01,66.1,4.69,60805,FS-4857
T-0034,2026-03-27,79.8,3.27,40060,FS-6535
T-0008,2026-03-26,54.4,3.92,61306,FS-7027
T-0019,2026-03-28,23.0,3.22,229628,FS-7500
T-0041,2026-03-31,15.0,3.58,22136,FS-2503
T-0001,2026-04-03,77.3,3.11,127940,FS-6318
T-0016,2026-03-15,70.7,3.54,254825,FS-4427
T-0011,2026-03-24,12.5,4.32,15134,FS-3016
T-0009,2026-03-23,64.0,4.4,138670,FS-9337
T-0050,2026-03-26,49.9,4.71,201602,FS-9134
T-0043,2026-03-16,24.2,4.45,16176,FS-4733
T-0038,2026-03-21,70.1,4.31,104679,FS-6017
T-0003,2026-04-03,65.2,3.17,108265,FS-5608
T-0021,2026-03-26,73.2,3.77,80661,FS-4733
T-0003,2026-03-18,44.9,4.55,118775,FS-3520
T-0019,2026-03-25,79.7,3.98,267639,FS-4139
T-0025,2026-03-21,10.6,3.17,88294,FS-4139
T-0013,2026-03-26,32.9,4.75,120241,FS-9457
T-0031,2026-03-19,23.1,4.44,145281,FS-4643
T-0009,2026-04-03,76.4,4.74,99132,FS-2939
T-0019,2026-03-21,45.8,3.29,256854,FS-5195
T-0034,2026-03-20,12.9,3.47,186597,FS-7027
T-0021,2026-03-16,38.8,4.37,116667,FS-4427
T-0050,2026-04-01,60.1,4.32,121377,FS-2033
T-0034,2026-03-15,64.0,4.01,198913,FS-7196
T-0046,2026-03-16,24.7,3.46,298687,FS-8550
T-0037,2026-03-30,62.1,4.65,214591,FS-7636
T-0035,2026-03-29,46.7,3.77,179983,FS-5613
T-0010,2026-03-20,30.3,3.46,231861,FS-9234
T-0048,2026-03-20,10.6,3.83,273025,FS-9134
T-0031,2026-03-21,51.9,3.97,117536,FS-9019
T-0007,2026-04-04,18.9,3.16,137839,FS-2841
T-0029,2026-04-01,26.8,3.73,159642,FS-6465
T-0050,2026-03-30,36.4,4.46,87897,FS-2033
T-0030,2026-03-24,27.6,3.63,212318,FS-3443
T-0022,2026-03-21,14.5,3.21,113061,FS-5415
T-0012,2026-03-29,52.2,4.71,282658,FS-9234
T-0042,2026-04-03,24.0,4.26,92908,FS-7047
T-0011,2026-03-27,66.1,4.06,288521,FS-4427
T-0017,2026-03-19,40.2,3.3,151070,FS-7805
T-0030,2026-03-22,67.6,3.2,133462,FS-7027
T-0028,2026-03-15,30.4,3.67,298071,FS-9457
T-0035,2026-03-23,43.8,4.01,189495,FS-1946
T-0035,2026-03-23,53.2,3.49,123983,FS-9019
T-0026,2026-03-18,74.5,3.65,219049,FS-2989
T-0046,2026-04-04,76.5,4.85,41448,FS-7500
T-0013,2026-03-16,51.8,4.46,87989,FS-7018
T-0034,2026-03-21,28.2,3.75,276328,FS-6546
T-0038,2026-03-21,26.9,3.6,132654,FS-5424
T-0046,2026-03-31,38.6,3.97,19635,FS-3016
T-0019,2026-03-30,65.7,3.33,104238,FS-8969
T-0014,2026-03-21,10.9,3.36,211888,FS-1342
T-0044,2026-03-23,63.3,4.11,233810,FS-5648
T-0041,2026-04-01,18.4,3.79,274303,FS-3231
T-0005,2026-03-26,19.5,4.31,242874,FS-8065
T-0010,2026-04-04,64.3,3.59,118837,FS-6482
T-0025,2026-03-31,34.5,3.15,30804,FS-7047
T-0037,2026-03-24,67.9,4.17,208217,FS-3845
T-0021,2026-03-26,21.2,3.14,78760,FS-2989
T-0023,2026-04-03,47.1,3.16,82988,FS-8969
T-0008,2026-03-17,25.4,4.13,86788,FS-3231
T-0025,2026-04-02,30.2,4.74,179455,FS-3520
T-0039,2026-03-23,32.2,3.21,256835,FS-3113
T-0024,2026-04-01,38.4,4.18,297782,FS-1307
T-0035,2026-03-25,20.4,4.81,149858,FS-2373
T-0048,2026-03-26,73.8,3.77,297600,FS-8550
T-0003,2026-03-25,11.4,3.77,113616,FS-5415
T-0050,2026-03-27,18.9,3.93,198559,FS-4643
T-0008,2026-03-22,65.5,3.41,43405,FS-4643
T-0030,2026-03-18,16.4,3.61,88759,FS-9670
T-0037,2026-03-24,41.3,4.82,132251,FS-1672
T-0011,2026-04-03,58.2,3.14,299797,FS-7707
T-0034,2026-03-29,38.0,3.67,221217,FS-5424
T-0002,2026-04-01,63.9,4.28,168542,FS-3231
T-0012,2026-04-05,35.8,3.76,165514,FS-4643
T-0014,2026-03-23,55.4,3.82,156585,FS-3520
T-0046,2026-03-18,41.6,3.11,43746,FS-8065
T-0023,2026-03-17,40.7,4.7,244455,FS-8969
T-0007,2026-03-18,49.3,4.32,104749,FS-3520
T-0030,2026-03-30,59.2,4.14,244301,FS-9062
T-0018,2026-03-22,47.3,3.13,102614,FS-8397
T-0041,2026-03-17,41.8,3.47,75766,FS-3845
T-0027,2026-03-27,44.1,3.6,56683,FS-4733
T-0040,2026-04-01,27.2,3.54,160209,FS-1849
T-0011,2026-04-04,39.4,3.79,48118,FS-1764
T-0002,2026-03-31,71.0,4.09,180958,FS-8797
T-0031,2026-04-02,13.9,4.72,161991,FS-7047
T-0020,2026-03-30,58.5,4.67,243116,FS-7027
T-0012,2026-03-23,51.3,3.63,147320,FS-3845
T-0028,2026-04-04,65.4,4.24,245689,FS-3113
T-0041,2026-03-25,41.8,3.69,299359,FS-3195
T-0021,2026-04-03,79.2,3.44,271873,FS-6546
T-0030,2026-03-31,78.0,3.48,70054,FS-1764
T-0033,2026-03-17,65.9,4.38,255967,FS-3014
T-0006,2026-03-26,30.9,4.12,288173,FS-1946
T-0018,2026-03-22,44.5,3.87,22449,FS-1342
T-0017,2026-03-25,21.6,3.38,74577,FS-4297
T-0020,2026-03-23,63.3,3.42,61495,FS-9670
T-0029,2026-03-18,51.8,3.75,196908,FS-7500
T-0003,2026-03-28,46.0,4.5,156509,FS-8170
T-0003,2026-04-05,59.6,4.46,124950,FS-8397
T-0013,2026-03-25,27.4,4.04,259793,FS-8397
T-0008,2026-03-18,55.1,4.62,289579,FS-9670
T-0049,2026-03-26,72.5,4.3,298269,FS-3443
T-0008,2026-03-25,21.9,4.1,35769,FS-6383
T-0013,2026-04-01,46.0,4.17,194762,FS-8397
T-0036,2026-03-25,75.9,3.72,49854,FS-3195
T-0040,2026-04-04,31.9,4.36,266826,FS-7636
T-0044,2026-03-24,19.5,4.37,102538,FS-2939
T-0003,2026-04-02,49.6,3.46,53916,FS-5648
T-0030,2026-03-29,70.5,4.03,255796,FS-8850
T-0011,2026-03-22,29.1,4.13,36370,FS-7018
T-0035,2026-03-19,71.6,4.1,206006,FS-9670
T-0047,2026-03-16,11.4,3.56,117679,FS-5277
T-0043,2026-03-24,17.2,3.69,177859,FS-3520
T-0046,2026-03-24,26.6,3.49,23376,FS-1582
T-0021,2026-03-26,35.6,3.25,123878,FS-8797
T-0002,2026-03-26,39.2,3.4,96466,FS-7225
T-0017,2026-03-16,39.9,4.36,53729,FS-4427
T-0047,2026-03-30,74.0,3.26,210148,FS-6383
T-0003,2026-03-21,73.0,3.93,95810,FS-2845
T-0035,2026-04-03,31.4,3.89,141382,FS-9134
T-0032,2026-03-27,63.2,4.05,255564,FS-8850
T-0041,2026-03-18,70.4,3.46,132829,FS-9062
T-0047,2026-04-01,50.5,4.05,24032,FS-5608
T-0013,2026-04-01,42.7,3.26,293770,FS-6535
T-0041,2026-03-18,78.2,3.91,16288,FS-9361
T-0022,2026-03-29,34.6,4.62,181593,FS-2239
T-0048,2026-04-03,43.0,3.57,72394,FS-9457
T-0046,2026-04-05,54.1,4.24,235976,FS-9385
T-0025,2026-03-29,73.4,4.57,92489,FS-3657
T-0043,2026-03-26,54.8,3.43,269957,FS-3016
T-0029,2026-03-18,17.0,3.21,57573,FS-3845
T-0009,2026-03-30,44.8,3.6,156907,FS-7196
T-0048,2026-04-04,40.1,4.36,19122,FS-2373
T-0034,2026-04-04,74.7,4.42,285180,FS-3174
T-0012,2026-03-26,38.6,4.5,91835,FS-7692
T-0044,2026-04-01,18.5,4.81,209237,FS-6017
T-0020,2026-03-31,22.6,4.17,191982,FS-1764
T-0012,2026-03-20,16.2,4.54,284532,FS-5648
T-0029,2026-03-15,24.4,3.81,234452,FS-4724
T-0022,2026-03-28,40.8,4.4,214976,FS-8969
T-0015,2026-04-03,46.2,4.74,91369,FS-7018
T-0038,2026-03-26,59.6,4.82,272340,FS-1029
T-0021,2026-03-22,59.6,4.19,131604,FS-5415
T-0009,2026-03-25,68.4,4.79,29358,FS-1582
T-0015,2026-03-15,77.9,3.85,283422,FS-3813
T-0014,2026-04-04,71.5,3.98,29124,FS-4427
T-0015,2026-04-02,54.1,3.47,174553,FS-4427
T-0011,2026-03-27,15.1,3.57,197687,FS-5608
T-0021,2026-03-21,65.9,3.18,16424,FS-8170
T-0011,2026-03-18,44.0,4.66,181529,FS-1672
T-0038,2026-03-26,37.5,4.3,246738,FS-6535
T-0014,2026-03-27,10.1,3.62,298561,FS-9019
T-0026,2026-03-15,15.9,3.54,88987,FS-7047
T-0026,2026-03-20,74.3,4.65,43373,FS-5608
T-0010,2026-03-29,35.9,4.1,22228,FS-2841
T-0006,2026-03-17,74.0,3.6,17088,FS-6535
T-0031,2026-03-25,70.8,4.74,52265,FS-8170
T-0046,2026-03-27,10.7,4.54,229926,FS-6181
T-0017,2026-03-20,34.3,4.13,277839,FS-6383
T-0050,2026-03-23,54.8,3.64,227580,FS-8170
T-0037,2026-03-28,35.2,3.12,170975,FS-6278
T-0010,2026-04-05,60.8,3.76,27327,FS-9234
T-0032,2026-03-20,76.3,4.1,24875,FS-9234
T-0008,2026-03-31,13.5,4.33,30697,FS-8550
T-0001,2026-03-29,72.5,3.83,62473,FS-1029
T-0015,2026-03-26,51.9,4.48,283952,FS-6546
T-0011,2026-03-31,63.1,3.4,194045,FS-8158
T-0018,2026-03-26,72.0,4.84,20761,FS-5195
T-0028,2026-03-21,32.0,3.69,95863,FS-9175
T-0008,2026-03-21,79.2,3.72,116454,FS-1303
T-0025,2026-03-17,66.5,3.98,207195,FS-4427
T-0043,2026-03-24,24.0,4.28,106480,FS-2845
T-0029,2026-03-29,30.0,4.6,17616,FS-7027
T-0038,2026-04-03,33.9,3.52,127289,FS-1175
T-0038,2026-04-05,17.0,3.32,51769,FS-1946
T-0013,2026-04-04,30.5,4.07,23241,FS-2989
T-0028,2026-04-01,63.7,3.48,282212,FS-6383
T-0029,2026-03-30,22.2,3.49,283087,FS-9385
T-0032,2026-03-25,39.2,3.59,50083,FS-4427
