truck_id,week,total_miles,total_hours,avg_speed_mph,idle_hours,fuel_gallons
T-0037,2026-W17,1954.7,52.4,37.3,10.8,487.0
T-0036,2026-W17,510.7,58.0,8.8,6.5,263.3
T-0042,2026-W17,3403.9,48.3,70.5,4.8,548.7
T-0019,2026-W17,2633.7,31.0,85.0,4.1,398.9
T-0038,2026-W17,438.8,28.5,15.4,12.6,285.6
T-0034,2026-W17,2004.1,45.0,44.5,12.8,439.7
T-0012,2026-W17,423.7,37.7,11.2,0.8,496.6
T-0033,2026-W17,2527.0,21.6,117.0,9.3,337.8
T-0015,2026-W17,2972.2,49.3,60.3,10.8,234.9
T-0044,2026-W17,1701.1,23.1,73.6,2.3,537.1
T-0039,2026-W17,755.4,53.1,14.2,0.6,589.3
T-0022,2026-W17,2746.6,68.5,40.1,3.7,241.3
T-0050,2026-W17,374.2,33.3,11.2,5.1,172.9
T-0021,2026-W17,1922.0,49.1,39.1,9.2,577.8
T-0046,2026-W17,1430.9,46.8,30.6,13.4,213.0
T-0013,2026-W17,2911.7,41.2,70.7,8.7,573.0
T-0043,2026-W17,374.0,28.5,13.1,10.0,505.8
T-0026,2026-W17,3048.0,69.0,44.2,10.8,470.5
T-0029,2026-W17,604.6,69.9,8.6,0.7,484.2
T-0020,2026-W17,956.8,36.6,26.1,5.6,425.0
T-0021,2026-W17,2034.5,60.5,33.6,8.2,178.5
T-0038,2026-W17,1727.5,42.1,41.0,6.8,89.1
T-0030,2026-W17,2088.3,21.8,95.8,12.9,101.6
T-0034,2026-W17,1241.0,38.9,31.9,9.6,427.5
T-0047,2026-W17,3214.9,66.1,48.6,3.0,176.8
T-0029,2026-W17,722.6,27.0,26.8,14.8,123.4
T-0034,2026-W17,2196.8,38.3,57.4,12.8,96.0
T-0018,2026-W17,2270.8,26.1,87.0,6.8,106.9
T-0012,2026-W17,2588.8,44.4,58.3,13.3,213.6
T-0010,2026-W17,715.2,51.5,13.9,3.5,534.3
T-0022,2026-W17,2059.7,62.2,33.1,11.6,79.3
T-0028,2026-W17,3384.1,57.8,58.5,13.3,55.8
T-0024,2026-W17,2930.7,61.1,48.0,14.2,554.2
T-0004,2026-W17,979.7,22.6,43.3,14.5,60.6
T-0044,2026-W17,1243.1,51.2,24.3,7.7,151.1
T-0036,2026-W17,888.8,40.6,21.9,2.5,545.7
T-0043,2026-W17,648.3,62.0,10.5,8.9,547.5
T-0047,2026-W17,3400.1,39.9,85.2,4.2,501.0
T-0002,2026-W17,1156.3,42.0,27.5,7.7,509.6
T-0014,2026-W17,1940.9,50.2,38.7,7.2,449.2
T-0011,2026-W17,3454.3,58.0,59.6,11.9,410.4
T-0042,2026-W17,2740.0,27.0,101.5,8.6,561.1
T-0045,2026-W17,1317.0,63.0,20.9,6.0,286.1
T-0038,2026-W17,1229.9,24.0,51.2,2.3,196.6
T-0036,2026-W17,1886.1,46.7,40.4,7.2,478.3
T-0019,2026-W17,2629.0,36.5,72.0,0.5,272.2
T-0020,2026-W17,2226.9,54.7,40.7,8.7,224.0
T-0029,2026-W17,2256.1,29.7,76.0,14.9,244.7
T-0041,2026-W17,1048.3,40.7,25.8,13.5,447.1
T-0008,2026-W17,1867.8,42.1,44.4,8.8,103.8
T-0040,2026-W17,2578.3,62.8,41.1,2.3,460.6
T-0012,2026-W17,2061.1,22.4,92.0,7.8,254.4
T-0001,2026-W17,2129.5,61.1,34.9,7.2,364.2
T-0033,2026-W17,887.8,23.0,38.6,14.6,320.8
T-0018,2026-W17,2425.4,25.8,94.0,14.1,474.6
T-0020,2026-W17,3175.8,32.4,98.0,3.8,449.5
T-0011,2026-W17,2309.2,34.8,66.4,11.0,146.6
T-0005,2026-W17,1178.9,29.5,40.0,9.7,159.5
T-0026,2026-W17,2776.0,69.7,39.8,3.8,66.6
T-0030,2026-W17,3490.6,52.4,66.6,13.8,169.8
T-0043,2026-W17,2618.0,48.3,54.2,5.3,471.7
T-0039,2026-W17,1100.2,67.1,16.4,7.1,177.4
T-0038,2026-W17,1470.6,62.4,23.6,11.2,341.4
T-0046,2026-W17,492.2,44.2,11.1,5.7,179.2
T-0026,2026-W17,2788.8,39.8,70.1,10.6,217.9
T-0007,2026-W17,935.0,21.4,43.7,10.3,585.4
T-0013,2026-W17,2461.4,26.8,91.8,8.6,322.3
T-0002,2026-W17,2954.4,24.3,121.6,5.6,245.3
T-0012,2026-W17,2164.7,44.7,48.4,14.5,476.9
T-0031,2026-W17,277.1,63.5,4.4,2.8,290.4
T-0004,2026-W17,1924.0,54.4,35.4,8.2,171.3
T-0031,2026-W17,2328.7,23.7,98.3,6.0,565.9
T-0050,2026-W17,1060.1,48.9,21.7,7.3,180.1
T-0047,2026-W17,1214.8,48.6,25.0,8.2,531.6
T-0002,2026-W17,1260.5,67.4,18.7,2.9,464.4
T-0037,2026-W17,3323.6,50.0,66.5,12.0,339.7
T-0024,2026-W17,1804.7,42.2,42.8,11.6,286.4
T-0009,2026-W17,1372.6,59.8,23.0,11.2,421.5
T-0017,2026-W17,2078.7,38.2,54.4,9.5,267.3
T-0001,2026-W17,1243.3,62.2,20.0,0.9,471.3
T-0039,2026-W17,2410.9,27.7,87.0,4.6,118.9
T-0048,2026-W17,1606.3,43.4,37.0,4.0,340.0
T-0042,2026-W17,2293.9,33.2,69.1,11.1,262.5
T-0024,2026-W17,1476.9,59.0,25.0,2.9,64.2
T-0039,2026-W17,331.3,32.3,10.3,7.2,167.9
T-0004,2026-W17,2523.1,69.6,36.3,12.8,381.0
T-0041,2026-W17,2726.0,23.9,114.1,8.7,280.2
T-0028,2026-W17,1796.1,61.6,29.2,11.4,393.5
T-0035,2026-W17,1253.5,52.6,23.8,2.2,58.9
T-0034,2026-W17,1613.9,24.3,66.4,11.2,263.0
T-0034,2026-W17,3046.5,65.1,46.8,13.5,490.1
T-0036,2026-W17,2219.9,41.3,53.8,4.7,464.6
T-0010,2026-W17,2620.2,66.3,39.5,1.6,382.9
T-0044,2026-W17,2106.9,44.9,46.9,10.7,482.3
T-0031,2026-W17,2969.6,65.3,45.5,2.2,427.5
T-0045,2026-W17,1228.9,47.1,26.1,7.9,184.1
T-0041,2026-W17,1676.8,30.7,54.6,2.8,497.4
T-0014,2026-W17,3202.6,62.4,51.3,2.3,430.7
T-0028,2026-W17,2740.7,44.5,61.6,5.7,284.6
T-0008,2026-W17,1194.8,40.4,29.6,9.2,149.7
T-0007,2026-W17,486.5,33.8,14.4,1.0,376.4
T-0036,2026-W17,1802.6,65.0,27.7,7.8,500.4
T-0018,2026-W17,3300.9,63.9,51.7,2.4,71.1
T-0044,2026-W17,2745.2,24.7,111.1,3.5,56.4
T-0029,2026-W17,1875.7,54.4,34.5,1.8,396.7
T-0042,2026-W17,556.5,60.6,9.2,12.1,131.8
T-0039,2026-W17,278.6,65.5,4.3,4.6,578.5
T-0008,2026-W17,1969.6,61.7,31.9,1.6,588.5
T-0005,2026-W17,3341.2,54.9,60.9,5.1,557.5
T-0011,2026-W17,1160.0,54.6,21.2,14.9,245.8
T-0042,2026-W17,1059.7,27.7,38.3,12.4,101.4
T-0025,2026-W17,734.7,55.9,13.1,14.8,234.1
T-0030,2026-W17,1302.7,36.5,35.7,12.6,431.1
T-0010,2026-W17,1215.0,39.5,30.8,4.0,149.4
T-0034,2026-W17,2983.8,48.0,62.2,1.9,265.4
T-0004,2026-W17,798.7,64.1,12.5,4.6,500.1
T-0005,2026-W17,1213.8,36.3,33.4,8.7,564.8
T-0027,2026-W17,728.8,54.3,13.4,3.5,527.3
T-0015,2026-W17,3401.6,30.8,110.4,8.3,341.5
T-0035,2026-W17,1252.7,22.0,56.9,12.3,333.7
T-0038,2026-W17,345.5,27.9,12.4,9.6,54.3
T-0014,2026-W17,2877.5,68.0,42.3,4.0,190.9
T-0017,2026-W17,378.2,42.5,8.9,3.8,237.4
T-0001,2026-W17,1627.2,66.0,24.7,8.7,488.4
T-0042,2026-W17,2192.2,48.9,44.8,5.7,499.9
T-0021,2026-W17,2661.0,44.2,60.2,11.2,254.8
T-0048,2026-W17,392.6,36.2,10.8,14.5,333.1
T-0013,2026-W17,1799.9,69.6,25.9,7.6,583.2
T-0048,2026-W17,2621.2,45.3,57.9,0.6,169.6
T-0031,2026-W17,532.9,43.5,12.3,12.8,331.4
T-0029,2026-W17,2849.8,69.5,41.0,9.9,128.5
T-0041,2026-W17,1954.3,62.3,31.4,13.6,285.0
T-0024,2026-W17,2886.1,31.7,91.0,1.6,398.2
T-0022,2026-W17,2600.6,31.0,83.9,9.2,536.3
T-0039,2026-W17,3437.1,60.2,57.1,13.0,307.9
T-0003,2026-W17,280.0,50.8,5.5,3.5,169.9
T-0015,2026-W17,3446.5,33.5,102.9,3.4,179.4
T-0047,2026-W17,1237.9,54.5,22.7,6.7,584.3
T-0023,2026-W17,2069.9,68.8,30.1,11.5,446.6
T-0026,2026-W17,3299.6,21.4,154.2,9.9,317.1
T-0009,2026-W17,351.7,44.9,7.8,7.6,206.6
T-0019,2026-W17,3247.5,41.7,77.9,4.6,210.6
T-0031,2026-W17,891.2,31.1,28.7,3.7,281.6
T-0043,2026-W17,2686.5,63.6,42.2,12.3,414.1
T-0033,2026-W17,1083.3,47.7,22.7,6.0,513.5
T-0012,2026-W17,3172.1,51.9,61.1,14.2,195.3
T-0049,2026-W17,3008.0,54.1,55.6,4.0,589.0
T-0006,2026-W17,3031.8,32.9,92.2,3.3,83.9
T-0022,2026-W17,1099.0,30.5,36.0,11.0,380.1
T-0023,2026-W17,2651.1,52.5,50.5,14.1,250.6
T-0043,2026-W17,871.4,40.9,21.3,3.0,130.1
T-0007,2026-W17,688.1,52.7,13.1,13.6,392.4
T-0023,2026-W17,3432.4,49.0,70.0,6.3,222.0
T-0037,2026-W17,461.1,36.8,12.5,8.5,431.5
T-0049,2026-W17,731.0,49.4,14.8,3.2,79.4
T-0017,2026-W17,1966.4,40.2,48.9,10.5,428.6
T-0007,2026-W17,703.1,57.3,12.3,7.2,288.8
T-0049,2026-W17,1042.0,49.7,21.0,3.4,129.6
T-0004,2026-W17,1072.7,38.1,28.2,5.6,237.1
T-0011,2026-W17,1368.1,60.7,22.5,12.5,141.6
T-0004,2026-W17,1563.6,46.6,33.6,13.9,99.5
T-0044,2026-W17,1796.6,63.2,28.4,4.8,103.6
T-0001,2026-W17,2474.3,28.9,85.6,3.5,477.1
T-0017,2026-W17,3216.0,30.2,106.5,10.1,142.7
T-0003,2026-W17,2987.7,41.7,71.6,3.2,207.8
T-0041,2026-W17,3010.0,23.8,126.5,1.6,485.7
T-0012,2026-W17,290.4,27.6,10.5,6.8,454.4
T-0009,2026-W17,2905.2,58.8,49.4,13.6,367.7
T-0022,2026-W17,2676.8,65.9,40.6,6.1,147.4
T-0050,2026-W17,797.4,53.8,14.8,4.9,152.3
T-0016,2026-W17,2395.2,40.9,58.6,13.3,388.4
T-0045,2026-W17,3019.3,39.5,76.4,14.1,417.6
T-0006,2026-W17,2406.8,62.9,38.3,1.0,446.8
T-0037,2026-W17,624.7,28.6,21.8,13.4,568.4
T-0032,2026-W17,374.9,44.8,8.4,5.1,409.6
T-0021,2026-W17,2225.1,28.0,79.5,1.1,177.3
T-0018,2026-W17,1659.0,49.3,33.7,7.8,442.5
T-0036,2026-W17,1447.4,69.8,20.7,2.9,115.9
T-0049,2026-W17,1268.5,35.9,35.3,9.6,162.9
T-0014,2026-W17,2047.9,28.7,71.4,12.4,351.4
T-0025,2026-W17,1186.9,46.5,25.5,5.7,145.5
T-0050,2026-W17,3192.8,39.7,80.4,7.6,534.8
T-0025,2026-W17,569.1,47.8,11.9,4.9,520.0
T-0019,2026-W17,2752.8,35.2,78.2,5.5,94.8
T-0005,2026-W17,3493.7,35.6,98.1,4.3,480.6
T-0026,2026-W17,3317.5,27.8,119.3,8.3,340.7
T-0016,2026-W17,2290.9,32.9,69.6,5.0,410.7
T-0016,2026-W17,734.5,63.9,11.5,8.5,208.9
T-0017,2026-W17,2930.6,26.4,111.0,0.7,424.0
T-0010,2026-W17,2666.2,61.0,43.7,13.2,292.2
T-0025,2026-W17,1279.1,48.1,26.6,14.4,409.6
T-0002,2026-W17,1075.9,36.2,29.7,12.1,75.5
T-0017,2026-W17,3450.5,32.2,107.2,4.2,322.1
T-0022,2026-W17,622.4,20.3,30.7,13.0,224.0
T-0046,2026-W17,2352.9,52.0,45.2,8.8,426.6
T-0001,2026-W17,2826.1,56.3,50.2,9.0,511.7
T-0035,2026-W17,246.7,64.3,3.8,12.9,64.6
T-0030,2026-W17,1501.4,29.4,51.1,8.3,409.4
T-0006,2026-W17,1194.5,27.7,43.1,6.2,406.5
T-0035,2026-W17,1088.7,59.8,18.2,12.9,271.7
T-0020,2026-W17,960.5,57.3,16.8,4.7,539.2
T-0016,2026-W17,751.8,50.9,14.8,12.2,152.7
T-0019,2026-W17,925.2,56.5,16.4,9.1,351.5
T-0016,2026-W17,1615.6,67.7,23.9,4.9,481.9
T-0014,2026-W17,3391.1,64.8,52.3,5.0,368.7
T-0016,2026-W17,1140.0,41.2,27.7,13.0,383.0
T-0017,2026-W17,3131.8,27.5,113.9,8.6,54.0
T-0004,2026-W17,800.5,34.9,22.9,3.6,325.3
T-0009,2026-W17,389.9,65.9,5.9,2.4,160.4
T-0016,2026-W17,625.1,26.1,24.0,6.3,350.2
T-0014,2026-W17,342.8,51.2,6.7,5.8,102.1
T-0030,2026-W17,309.1,38.2,8.1,1.6,413.9
T-0001,2026-W17,2639.7,60.2,43.8,12.8,507.7
T-0025,2026-W17,1403.1,22.3,62.9,10.6,317.1
T-0022,2026-W17,2289.2,57.5,39.8,1.0,255.6
T-0005,2026-W17,606.0,37.2,16.3,11.8,493.1
T-0023,2026-W17,1912.7,42.5,45.0,7.7,510.6
T-0049,2026-W17,228.2,37.7,6.1,6.3,599.4
T-0005,2026-W17,2969.9,39.8,74.6,11.6,572.4
T-0014,2026-W17,1727.6,35.7,48.4,7.7,386.3
T-0016,2026-W17,2636.3,52.0,50.7,2.4,259.3
T-0016,2026-W17,2642.8,67.6,39.1,13.8,274.1
T-0043,2026-W17,456.1,56.0,8.1,10.3,509.0
T-0010,2026-W17,1793.0,44.6,40.2,5.2,571.1
T-0013,2026-W17,514.9,57.8,8.9,7.1,487.6
T-0045,2026-W17,3199.3,24.0,133.3,5.9,293.1
T-0024,2026-W17,2781.4,46.5,59.8,7.4,276.5
T-0043,2026-W17,1043.4,26.2,39.8,14.0,320.6
T-0046,2026-W17,785.4,38.6,20.3,0.8,409.1
T-0028,2026-W17,2572.0,67.4,38.2,1.1,198.8
T-0029,2026-W17,947.9,33.6,28.2,3.4,486.1
T-0005,2026-W17,504.2,64.9,7.8,4.4,374.5
T-0027,2026-W17,3267.6,52.5,62.2,13.3,161.0
T-0031,2026-W17,1992.7,38.7,51.5,9.6,150.1
T-0014,2026-W17,1962.7,22.3,88.0,8.3,340.4
T-0002,2026-W17,1433.7,46.8,30.6,13.1,435.5
T-0004,2026-W17,2178.3,22.3,97.7,12.1,402.3
T-0038,2026-W17,739.1,67.3,11.0,14.1,320.5
T-0020,2026-W17,2914.1,36.6,79.6,7.6,441.2
T-0027,2026-W17,2700.3,46.0,58.7,6.3,253.0
T-0045,2026-W17,2723.0,27.9,97.6,12.3,51.2
T-0029,2026-W17,350.1,25.3,13.8,0.9,257.4
T-0013,2026-W17,3302.7,65.6,50.3,3.4,593.2
T-0028,2026-W17,2034.2,30.4,66.9,1.0,313.4
T-0042,2026-W17,1169.5,21.8,53.6,2.6,373.4
T-0042,2026-W17,3161.9,70.0,45.2,1.4,582.8
T-0030,2026-W17,1102.5,22.7,48.6,4.9,579.4
T-0039,2026-W17,1158.8,68.4,16.9,11.6,346.3
T-0014,2026-W17,2914.4,29.3,99.5,9.7,232.8
T-0036,2026-W17,2023.8,42.9,47.2,1.7,297.6
T-0017,2026-W17,3448.6,67.4,51.2,6.0,345.4
T-0026,2026-W17,2476.9,54.2,45.7,5.5,87.0
T-0008,2026-W17,922.8,54.3,17.0,1.5,260.4
T-0039,2026-W17,1083.5,32.2,33.6,11.5,325.3
T-0003,2026-W17,758.1,21.2,35.8,12.6,173.2
T-0047,2026-W17,1983.6,46.3,42.8,12.7,190.2
T-0023,2026-W17,775.2,46.4,16.7,12.7,569.8
T-0037,2026-W17,3397.1,54.9,61.9,5.6,103.2
T-0003,2026-W17,3402.8,58.9,57.8,12.1,120.1
T-0031,2026-W17,1226.1,47.1,26.0,5.9,321.6
T-0034,2026-W17,1014.1,24.4,41.6,9.0,579.8
T-0030,2026-W17,622.1,51.2,12.2,2.4,289.1
T-0033,2026-W17,1742.9,21.7,80.3,7.1,158.4
T-0028,2026-W17,652.5,69.5,9.4,0.7,150.8
T-0025,2026-W17,839.0,44.7,18.8,10.2,332.9
T-0036,2026-W17,2345.9,32.1,73.1,12.3,176.7
T-0008,2026-W17,2724.6,55.9,48.7,10.2,409.6
T-0019,2026-W17,340.7,40.2,8.5,15.0,418.9
T-0011,2026-W17,2466.7,31.2,79.1,9.5,494.4
T-0049,2026-W17,1194.8,49.1,24.3,5.8,111.8
T-0029,2026-W17,2547.0,54.6,46.6,5.0,162.0
T-0043,2026-W17,1678.7,36.5,46.0,5.1,155.1
T-0007,2026-W17,2409.1,67.9,35.5,8.6,535.7
T-0038,2026-W17,1172.5,45.7,25.7,14.7,78.7
T-0038,2026-W17,2801.5,23.3,120.2,11.5,92.2
T-0003,2026-W17,1201.2,66.0,18.2,11.9,504.1
T-0004,2026-W17,2978.8,35.9,83.0,6.9,173.3
T-0034,2026-W17,1545.8,30.4,50.8,9.3,374.5
T-0003,2026-W17,2689.4,30.2,89.1,8.2,312.1
T-0047,2026-W17,498.2,30.7,16.2,12.7,423.0
T-0045,2026-W17,1807.0,25.1,72.0,9.1,186.7
T-0039,2026-W17,1682.4,28.7,58.6,12.8,454.0
T-0046,2026-W17,2612.4,29.3,89.2,10.2,441.7
T-0048,2026-W17,3015.6,52.3,57.7,9.4,117.0
T-0011,2026-W17,438.3,41.8,10.5,2.6,444.2
T-0002,2026-W17,403.8,48.2,8.4,14.9,111.9
T-0019,2026-W17,2366.9,27.2,87.0,14.1,487.0
T-0048,2026-W17,274.1,23.5,11.7,0.7,540.1
T-0050,2026-W17,2977.7,69.2,43.0,7.2,566.7
T-0050,2026-W17,3458.3,63.2,54.7,11.7,509.3
T-0049,2026-W17,826.5,45.1,18.3,6.9,582.9
T-0039,2026-W17,1823.5,31.3,58.3,4.3,279.6
T-0036,2026-W17,2496.6,34.0,73.4,7.8,325.6
T-0025,2026-W17,2146.5,39.5,54.3,5.5,311.8
T-0032,2026-W17,1867.5,44.4,42.1,4.6,223.0
T-0039,2026-W17,2188.9,32.5,67.4,10.5,50.6
T-0029,2026-W17,550.8,67.2,8.2,0.9,575.6
T-0026,2026-W17,1700.9,57.7,29.5,3.3,374.9
T-0032,2026-W17,2275.5,43.0,52.9,4.6,470.8
T-0037,2026-W17,1356.4,39.8,34.1,6.8,315.1
T-0022,2026-W17,1423.3,32.1,44.3,4.7,188.6
T-0020,2026-W17,2044.0,21.5,95.1,11.6,257.1
T-0043,2026-W17,2953.1,28.3,104.3,13.9,477.6
T-0029,2026-W17,1804.9,36.5,49.4,4.3,261.7
T-0018,2026-W17,2790.9,45.7,61.1,1.2,106.8
T-0018,2026-W17,2195.7,36.2,60.7,9.2,372.0
T-0012,2026-W17,820.8,67.0,12.3,10.3,498.1
T-0014,2026-W17,704.5,39.4,17.9,3.9,73.0
T-0007,2026-W17,699.3,55.0,12.7,11.1,496.5
T-0019,2026-W17,2333.6,56.7,41.2,6.3,136.8
T-0044,2026-W17,808.9,63.2,12.8,13.2,492.6
T-0015,2026-W17,1428.5,24.4,58.5,1.4,579.7
T-0012,2026-W17,3349.5,54.8,61.1,11.3,94.1
T-0032,2026-W17,1094.9,55.2,19.8,2.8,209.0
T-0007,2026-W17,2701.7,58.9,45.9,4.7,210.6
T-0042,2026-W17,800.3,51.2,15.6,7.3,165.6
T-0020,2026-W17,2398.2,47.7,50.3,4.9,347.8
T-0017,2026-W17,1430.0,21.6,66.2,3.9,373.7
T-0005,2026-W17,2431.1,48.2,50.4,5.2,233.3
T-0035,2026-W17,3414.5,20.9,163.4,14.0,318.7
T-0036,2026-W17,3185.1,40.2,79.2,3.7,567.3
T-0049,2026-W17,1930.0,37.4,51.6,9.3,318.9
T-0046,2026-W17,2600.1,35.4,73.4,12.1,177.2
T-0024,2026-W17,1023.2,37.1,27.6,8.3,378.3
T-0045,2026-W17,3200.6,25.8,124.1,4.4,198.7
T-0049,2026-W17,1539.9,23.3,66.1,13.4,299.2
T-0028,2026-W17,2185.9,64.0,34.2,14.3,300.7
T-0019,2026-W17,2106.8,28.8,73.2,13.9,53.0
T-0039,2026-W17,1082.1,56.7,19.1,10.0,577.5
T-0035,2026-W17,304.7,32.7,9.3,7.5,412.1
T-0024,2026-W17,451.9,40.9,11.0,9.6,507.0
T-0022,2026-W17,1989.5,54.3,36.6,5.1,599.8
T-0047,2026-W17,2112.0,68.1,31.0,6.8,351.5
T-0001,2026-W17,3025.7,68.7,44.0,0.6,491.1
T-0047,2026-W17,1505.1,39.8,37.8,14.4,533.8
T-0034,2026-W17,2459.9,54.8,44.9,7.9,183.9
T-0022,2026-W17,1633.8,51.6,31.7,14.6,442.1
T-0004,2026-W17,1531.0,48.7,31.4,11.6,104.8
T-0019,2026-W17,1272.8,50.5,25.2,12.7,52.7
T-0049,2026-W17,3273.4,39.2,83.5,6.6,356.7
T-0031,2026-W17,1312.8,26.4,49.7,7.4,551.6
T-0041,2026-W17,2368.2,62.9,37.7,6.6,245.1
T-0047,2026-W17,3401.4,66.2,51.4,0.8,558.0
T-0028,2026-W17,2204.3,69.9,31.5,1.8,376.7
T-0032,2026-W17,3027.1,66.8,45.3,12.7,509.3
T-0029,2026-W17,3239.5,22.8,142.1,1.0,304.5
T-0024,2026-W17,1922.0,67.8,28.3,10.1,585.0
T-0050,2026-W17,574.0,42.7,13.4,7.2,126.4
T-0013,2026-W17,1595.3,69.3,23.0,9.7,234.9
T-0030,2026-W17,812.0,40.4,20.1,1.6,283.2
T-0039,2026-W17,2228.7,30.3,73.6,9.1,523.7
T-0019,2026-W17,3340.0,49.3,67.7,10.2,528.7
T-0016,2026-W17,2758.8,28.6,96.5,8.1,563.4
T-0026,2026-W17,2455.2,64.0,38.4,12.9,444.3
T-0037,2026-W17,2840.8,56.4,50.4,9.4,198.0
T-0010,2026-W17,299.9,40.4,7.4,3.5,261.4
T-0019,2026-W17,737.2,25.7,28.7,10.4,303.4
T-0003,2026-W17,2550.4,68.1,37.5,4.8,560.6
